ProductID,ProductName,Category,Brand,BarcodeNumber (UPC/EAN),ManufacturerCode,ProductCode,PackageSize,Price,ManufactureDate,ExpiryDate
1,Coca-Cola 500ml,Beverage,Coca-Cola,49000043101,490000,43101,500ml,40,12-05-2025,12-11-2025
2,Lays Classic Chips 52g,Snacks,PepsiCo,28400090202,284000,90202,52g,20,05-06-2025,05-12-2025
3,Amul Taaza Milk 1L,Dairy,Amul,8900000000000,8901262,123456,1L,64,20-04-2025,20-10-2025
4,Pond's super light gel,Personal Care,Pond's,8901030865404,8901030,765432,25ml,55,30-04-2022,30-09-2025
5,Dettol Handwash 200ml,Personal Care,Reckitt,8900000000000,8901396,356781,200ml,99,01-05-2025,01-11-2025
6,Maggie Noodles 70g,Packaged Food,Nestle,8900000000000,8901058,843210,70g,14,15-06-2025,15-09-2025
7,Taj Mahal Tea 500g,Beverage,HUL,8900000000000,8901030,532109,500g,290,18-02-2025,18-08-2025
8,Britannia Marie Gold 200g,Biscuits,Britannia,8900000000000,8901063,56784,200g,35,22-05-2025,22-11-2025
9,Colgate Toothpaste 150g,Personal Care,Colgate,8900000000000,8901314,9876,150g,115,10-01-2025,10-07-2025
10,Parle-G Biscuits 100g,Biscuits,Parle,8900000000000,8901719,43212,100g,10,03-06-2025,03-12-2025
11,Pepsi 500ml,Beverage,PepsiCo,49000043102,490000,43102,500ml,38,15-04-2025,15-10-2025
12,Sunfeast Dark Fantasy 150g,Biscuits,ITC,8900000000000,8901054,123456,150g,60,12-03-2025,12-09-2025
13,Amul Butter 100g,Dairy,Amul,8900000000000,8901262,123457,100g,55,20-02-2025,20-08-2025
14,L'OREAL Hair Serum,Personal Care,L'OREAL,6923700970449,8901030,765433,100ml,599,10-05-2023,10-09-2025
15,Horlicks 500g,Beverage,GSK,8900000000000,8901122,123456,500g,250,05-04-2025,05-10-2025
16,Kellogg's Corn Flakes 250g,Breakfast,Kellogg's,8900000000000,8901012,123456,250g,150,15-01-2025,15-07-2025
17,Maggi Masala Noodles 70g,Packaged Food,Nestle,8900000000000,8901058,843211,70g,15,18-03-2025,18-09-2025
18,Dabur Honey 500g,Packaged Food,Dabur,8900000000000,8901031,123456,500g,310,25-02-2025,25-08-2025
19,Surf Excel 1kg,Household,Hindustan Unilever,8900000000000,8901032,123456,1kg,200,01-06-2025,01-06-2026
20,Pepsi Diet 500ml,Beverage,PepsiCo,49000043103,490000,43103,500ml,42,18-05-2025,18-11-2025
21,Haldiram's Bhujia 200g,Snacks,Haldiram,8900000000000,8901013,123456,200g,50,28-03-2025,28-09-2025
22,Amul Cheese 200g,Dairy,Amul,8900000000000,8901262,123458,200g,120,12-04-2025,12-10-2025
23,Hair mask,Personal Care,Bblunt,8904417307320,8901030,765434,250g,499,28-01-2025,06-10-2025
24,Knorr Soup 50g,Packaged Food,Unilever,8900000000000,8901033,123456,50g,30,05-05-2025,05-11-2025
25,Kinley Water 1L,Beverage,Coca-Cola,49000043104,490000,43104,1L,20,10-02-2025,10-08-2025
26,Milk Bikis,Biscuits,Britannia,8901063012608,8901063,43213,10g,20,26-08-2025,23-01-2026
27,Colgate Toothbrush 1pc,Personal Care,Colgate,8900000000000,8901314,9877,1pc,75,22-04-2025,22-04-2026
28,Nescafe Classic 100g,Beverage,Nestle,8900000000000,8901054,123457,100g,180,12-01-2025,12-07-2025
29,Dettol Soap 75g,Personal Care,Reckitt,8900000000000,8901396,356782,75g,35,08-05-2025,08-11-2025
30,Ariel 1kg,Household,Procter & Gamble,8900000000000,8901014,123456,1kg,320,15-02-2025,15-02-2026
31,Sprite 500ml,Beverage,Coca-Cola,49000043105,490000,43105,500ml,38,12-03-2025,12-09-2025
32,Bingo Mad Angles 52g,Snacks,ITC,8900000000000,8901055,123456,52g,20,01-06-2025,01-12-2025
33,Amul Paneer 200g,Dairy,Amul,8900000000000,8901262,123459,200g,90,12-05-2025,12-11-2025
34,Lifebuoy soap ,Personal Care,Unilever,8909106053496,8909106,765435,40g,40,22-08-2025,17-02-2028
35,Tata Tea Premium 500g,Beverage,Tata,8900000000000,8901016,123456,500g,280,28-04-2025,28-10-2025
36,Kissan Ketchup 500g,Packaged Food,Hindustan Unilever,8900000000000,8901034,123456,500g,120,05-03-2025,05-09-2025
37,Santoor Soap 100g,Personal Care,Reckitt,8900000000000,8901394,356789,100g,45,22-01-2025,22-07-2025
38,Pepsi 1.25L,Beverage,PepsiCo,49000043106,490000,43106,1.25L,55,12-06-2025,12-12-2025
39,Lays Magic Masala 52g,Snacks,PepsiCo,28400090203,284000,90203,52g,22,18-05-2025,18-11-2025
40,Amul Fresh Cream 200g,Dairy,Amul,8900000000000,8901262,123460,200g,85,15-03-2025,15-09-2025
41,Clinic Plus Shampoo 200ml,Personal Care,Hindustan Unilever,8900000000000,8901035,123456,200ml,130,10-04-2025,10-10-2025
42,Bournvita 500g,Beverage,ITC,8900000000000,8901056,123456,500g,300,28-02-2025,28-08-2025
43,Rin Detergent 500g,Household,Hindustan Unilever,8900000000000,8901036,123456,500g,180,15-01-2025,15-01-2026
44,Mountain Dew 500ml,Beverage,PepsiCo,49000043107,490000,43107,500ml,42,22-05-2025,22-11-2025
45,Unibic Choco Fills 150g,Biscuits,Unibic,8900000000000,8901057,123456,150g,55,20-03-2025,20-09-2025
46,Colgate Sensitive Toothpaste 150g,Personal Care,Colgate,8900000000000,8901314,9878,150g,120,15-04-2025,15-10-2025
47,Nestle Cerelac 500g,Beverage,Nestle,8900000000000,8901058,123456,500g,260,10-02-2025,10-08-2025
48,Dettol Surface Cleaner 500ml,Household,Reckitt,8900000000000,8901395,356789,500ml,150,05-06-2025,05-12-2025
49,Pepsi Diet 1.25L,Beverage,PepsiCo,49000043108,490000,43108,1.25L,60,25-03-2025,25-09-2025
50,udhaiyam orid dhall,Packaged Food,udhaiyam,8906002130023,8906002,123456,500g,81,25-09-2025,24-03-2026
